time,main_reservoir.storage,main_tunnel.output,surge_tank.storage,pressure_pipe_1.output,pressure_pipe_2.output,high_level_tank.storage,final_channel.output
107.0,5402.91708182971,10.451481524097034,33.77544008989026,16.950296166458465,-0.5422014363916993,60.82746595643812,6.000000000000002
108.0,5462.11124766605,10.569444450869007,33.43768568899136,16.814410262570796,-1.3043932664551448,58.7627293655275,6.000000000000002
109.0,5521.187025170718,10.687664543169973,33.10330883210145,16.67884847234489,-2.029918617521805,55.9982766309366,6.000000000000002
110.0,5580.144651120377,10.805926899111247,32.77227574378043,16.54360533435928,-2.70547612022131,52.59282205282858,6.000000000000002
111.0,5638.984361818136,10.9241102585895,32.44455298634263,16.408675402311346,-3.319121035407596,48.61629074176063,6.000000000000002
112.0,5697.7063930945,11.042146289054678,32.120107456479204,16.27405324178871,-3.8605340361533846,44.148053071335234,6.000000000000002
113.0,5756.310980308311,11.159996573118772,31.79890638191441,16.1397334271801,-4.321220586089871,39.27498182185367,6.000000000000002
114.0,5814.798358347694,11.27763960155291,31.480917318095266,16.005710538713608,-4.694636439499149,34.08940810958135,6.000000000000002
115.0,5873.168761630999,11.395063421503929,31.16610814491431,15.871979159611312,-4.976239996050864,28.687050512160717,6.000000000000002
116.0,5931.422424107737,11.51226148113934,30.85444706346517,15.738533873349827,-5.1634768339490735,23.164985546809632,6.000000000000002
117.0,5989.559579259521,11.62923028096921,30.54590259283052,15.605369261017135,-5.2557053155824205,17.619717911892092,6.000000000000002
118.0,6047.580460101002,11.74596804633327,30.240443566902215,15.472479898756637,-5.2540744912191615,12.14539694677428,6.000000000000002
119.0,6105.4852991808,11.86247397706834,29.938039131233193,15.33986035528997,-5.161366587615374,6.8322128973242275,6.000000000000002
120.0,6163.274328582439,11.978747823408142,29.63865873992086,15.207505189510627,-4.981816284759666,1.7649939513480088,6.000000000000002
121.0,6220.9477799252745,12.094789646275292,29.34227215252165,15.075408948140975,-4.720917986734091,-2.9779864597779317,6.000000000000002
122.0,6278.505884365424,12.210599681794982,29.048849430996434,14.943566163445666,-4.385230663799932,-7.32599229283064,6.000000000000002
123.0,6335.948872596693,12.326178264716573,28.75836093668647,14.81197135099485,-3.982187865403792,-11.216605254574048,6.000000000000002
124.0,6393.276974851499,12.441525785130938,28.470777327319603,14.680619007470986,-3.5199184258167096,-14.596316114708582,6.000000000000002
125.0,6450.490420901796,12.556642664007171,28.186069554046405,14.54950360851342,-3.007081397820242,-17.420943561094965,6.000000000000002
126.0,6507.589440059993,12.671529339366305,27.904208858505942,14.418619606595152,-2.4527169853997304,-19.65589875198101,6.000000000000002
127.0,6564.574261179872,12.786186258467264,27.625166769920884,14.28796142892653,-1.8661137761570727,-21.27631379373832,6.000000000000002
128.0,6621.445112657512,12.900613873391027,27.348915102221675,14.15752347538092,-1.2566914233907949,-22.267051294707386,6.000000000000002
129.0,6678.202222432197,13.014812638545507,27.075425951199456,14.02730011643752,-0.6338970880216123,-22.622610241545157,6.000000000000002
130.0,6734.845817987333,13.128783009256086,26.80467169168746,13.897285691136846,-0.007113392590676895,-22.34694100611652,6.000000000000002
131.0,6791.376126351359,13.242525440969734,26.536624974770586,13.767474505044486,0.6144246753298661,-21.453179568210196,6.000000000000002
132.0,6847.793374098656,13.356040388805974,26.27125872502288,13.637860828218944,1.2204702924763473,-19.96454453113122,6.000000000000002
133.0,6904.097787350459,13.469328307303854,26.00854613777265,13.508438893179598,1.7999208048982263,-17.915066919593855,6.000000000000002
134.0,6960.289591775758,13.582389650279742,25.748460676394924,13.379202892870827,2.3423976339027095,-15.348730949196222,6.000000000000002
135.0,7016.369012592207,13.695224870747724,25.490976069630975,13.250146978618597,2.8384853862496833,-12.318386426081586,6.000000000000002
136.0,7072.336274567022,13.807834420875404,25.236066308934664,13.121265258075814,3.2799329262645043,-8.884473669491062,6.000000000000002
137.0,7128.191602017888,13.920218751959709,24.983705645845316,12.992551793152929,3.659809809280622,-5.113607939341801,6.000000000000002
138.0,7183.935218813852,14.032378314413995,24.733868589386862,12.864000597930259,3.972614332584626,-1.0770735075154025,6.000000000000002
139.0,7239.567348376224,14.144313557761542,24.486529903492993,12.735605636548666,4.214332534729113,3.150722446057653,6.000000000000002
140.0,7295.088213679472,14.256024930632666,24.241664604458062,12.60736082107521,4.382450302951174,7.493788718433106,6.000000000000002
141.0,7350.498037252113,14.367512880763854,23.99924795841348,12.479260009340456,4.475923093672617,11.876039453125308,6.000000000000002
142.0,7405.797041177609,14.47877785499806,23.759255478829346,12.351297002744179,4.495109479676131,16.222698439637373,6.000000000000002
143.0,7460.985447095253,14.589820299285654,23.521662924041053,12.22346554402619,4.441675749057516,20.46159045819942,6.000000000000002
144.0,7516.063476201063,14.700640658685721,23.28644629480064,12.095759314999032,4.3184791196223395,24.524299697094268,6.000000000000002
145.0,7571.031349248661,14.811239377367581,23.053581831852632,11.968171934239315,4.129436887856573,28.34718283873716,6.000000000000002
146.0,7625.889286550164,14.92161689861241,22.823046013534107,11.840696954734426,3.879388134874529,31.872231188127476,6.000000000000002
147.0,7680.637507977063,15.03177366481494,22.594815553398767,11.713327861481329,3.57395361010605,35.047781908381936,6.000000000000002
148.0,7735.276232961109,15.141710117485172,22.36886739786478,11.586058069034186,3.2193982497045206,37.82908288423168,6.000000000000002
149.0,7789.805680495187,15.251426697250121,22.145178723886133,11.45888091899742,2.8224995843025846,40.17871893248137,6.000000000000002
150.0,7844.226069134196,15.360923843855575,21.92372693664727,11.331789677460876,2.390424146095088,42.06690909192044,6.000000000000002
151.0,7898.537616995928,15.47020199616784,21.704489667280797,11.204777532373614,1.9306129650784678,43.4716856933499,6.000000000000002
152.0,7952.740541761937,15.57926159217549,21.48744477060799,11.077837590852848,1.4506763880698317,44.37896601025285,6.000000000000002
153.0,8006.835060678412,15.688103068991133,21.27257032290191,10.950962876424455,0.9582977787714834,44.782526713896175,6.000000000000002
154.0,8060.821390557056,15.796726862853145,21.05984461967289,10.824146326191391,0.4611451629138409,44.68389029288631,6.000000000000002
155.0,8114.699747775941,15.905133409127435,20.84924617347616,10.697380787926274,-0.0332104410932886,44.09213122313194,6.000000000000002
156.0,8168.47034828039,16.01332314230918,20.6407537117414,10.570659017084282,-0.5173678228847401,43.02361175995805,6.000000000000002
157.0,8222.13340758383,16.12129649602456,20.434346174623986,10.443973673732406,-0.9833061370328694,41.5025104759257,6.000000000000002
158.0,8275.689140768662,16.229053903032508,20.230002712877745,10.317317319390993,-1.4227849656161449,39.560944129360486,6.000000000000002
159.0,8329.137762487124,16.336595795226444,20.027702685748967,10.190682413783355,-1.8282202913317804,37.238212036411696,6.000000000000002
160.0,8382.47948696215,16.44392260363599,19.827425658891478,10.064061311489105,-2.19284186849063,34.57989251746592,6.000000000000002
161.0,8435.714527988224,16.551034758428717,19.629151402302565,9.937446258496733,-2.5108222715283333,31.636821589469264,6.000000000000002
162.0,8488.843098932248,16.65793268891186,19.432859888279538,9.810829388650738,-2.7773742751330914,28.463987044467807,6.000000000000002
163.0,8541.865412734383,16.764616823534038,19.238531289396743,9.684202719988512,-2.9888150599008534,25.119372146511104,6.000000000000002
164.0,8594.781681908915,16.87108758988697,19.046145976502775,9.557558150961944,-3.1425975244188398,21.662782470260876,6.000000000000002
165.0,8647.592118545097,16.977345414707194,18.855684516737746,9.430887456538539,-3.2373105728487204,18.154687116533893,6.000000000000002
166.0,8700.296934308008,17.08339072387778,18.66712767157037,9.304182284176623,-3.272651526840252,14.655102000736967,6.000000000000002
167.0,8752.89634043939,17.189223942430026,18.480456394854667,9.177434149668999,-3.2493747172274072,11.222538508500348,6.000000000000002
168.0,8805.390547758512,17.294845494545164,18.29565183090612,9.05063443284917,-3.169220825533099,7.913035951610994,6.000000000000002
169.0,8857.779766662996,17.400255803556075,18.112695312597058,8.923774373153996,-3.0348316893035627,4.779291312912294,6.000000000000002
170.0,8910.06420712967,17.505455291948962,17.931568359471086,8.796845065036385,-2.849655110770722,1.869895060730168,6.000000000000002
171.0,8962.24407871541,17.610444381365063,17.752252675876374,8.669837453221337,-2.617843786227442,-0.7713224137564008,6.000000000000002
172.0,9014.31959055798,17.715223492602334,17.57473014911761,8.542742327798376,-2.344151882102585,-3.1058327656870306,6.000000000000002
173.0,9066.290951376865,17.819793045617132,17.398982847626435,8.415550319143033,-2.033832099090982,-5.100841955206924,6.000000000000002
174.0,9118.158369474111,17.924153459525897,17.22499301915017,8.288251892659794,-1.6925353547232187,-6.729616785490056,6.000000000000002
175.0,9169.922052735163,18.028305152606848,17.052743088958668,8.160837343338475,-1.3262145312306377,-7.9717111069020685,6.000000000000002
176.0,9221.582208629692,18.132248542301635,16.882215658069082,8.033296790115688,-0.9410331187998316,-8.813097836865625,6.000000000000002
177.0,9273.139044212432,18.235984045217034,16.71339350148839,7.905620170032607,-0.5432790598733572,-9.246213173778163,6.000000000000002
