time,main_river_channel.storage,branch1_channel.output,branch2_pipe.output,regulating_reservoir.storage,total_outflow.output
242.0,4652.133763607011,434.7164204387909,nan,nan,nan
243.0,4655.612425970941,434.88249547864945,nan,nan,nan
244.0,4659.056301711232,435.0468473001949,nan,nan,nan
245.0,4662.46573869412,435.2094944481276,nan,nan,nan
246.0,4665.841081307179,435.3704552533942,nan,nan,nan
247.0,4669.182670494107,435.5297478359581,nan,nan,nan
248.0,4672.490843789165,435.6873901075285,nan,nan,nan
249.0,4675.765935351274,435.8433997742467,nan,nan,nan
250.0,4679.008275997761,435.9977943393319,nan,nan,nan
251.0,4682.218193237783,436.15059110568666,nan,nan,nan
252.0,4685.396011305405,436.30180717846235,nan,nan,nan
253.0,4688.542051192351,436.4514594675867,nan,nan,nan
254.0,4691.656630680428,436.599564690252,nan,nan,nan
255.0,4694.740064373624,436.7461393733673,nan,nan,nan
256.0,4697.792663729888,436.891199855973,nan,nan,nan
257.0,4700.814737092589,437.0347622916196,nan,nan,nan
258.0,4703.806589721663,437.1768426507109,nan,nan,nan
259.0,4706.768523824447,437.31745672281323,nan,nan,nan
260.0,4709.700838586202,437.45662011892955,nan,nan,nan
261.0,4712.60383020034,437.5943482737407,nan,nan,nan
262.0,4715.477791898336,437.7306564478133,nan,nan,nan
263.0,4718.323013979353,437.8655597297761,nan,nan,nan
264.0,4721.13978383956,437.9990730384634,nan,nan,nan
265.0,4723.928386001164,438.13121112502824,nan,nan,nan
266.0,4726.689102141152,438.26198857502493,nan,nan,nan
267.0,4729.4222111197405,438.3914198104608,nan,nan,nan
268.0,4732.127989008543,438.51951909181867,nan,nan,nan
269.0,4734.806709118458,438.6463005200511,nan,nan,nan
270.0,4737.458642027273,438.77177803854454,nan,nan,nan
271.0,4740.084055607,438.8959654350567,nan,nan,nan
272.0,4742.68321505093,439.0188763436255,nan,nan,nan
273.0,4745.25638290042,439.1405242464517,nan,nan,nan
274.0,4747.803819071416,439.26092247575417,nan,nan,nan
275.0,4750.325780880702,439.3800842155994,nan,nan,nan
276.0,4752.822523071895,439.4980225037051,nan,nan,nan
277.0,4755.294297841177,439.6147502332185,nan,nan,nan
278.0,4757.741354862765,439.7302801544698,nan,nan,nan
279.0,4760.1639413141365,439.84462487670106,nan,nan,nan
280.0,4762.562301900995,439.9577968697712,nan,nan,nan
281.0,4764.936678881985,440.0698084658373,nan,nan,nan
282.0,4767.287312093165,440.18067186101246,nan,nan,nan
283.0,4769.614438972234,440.290399117001,nan,nan,nan
284.0,4771.918294582511,440.399002162711,nan,nan,nan
285.0,4774.199111636686,440.5064927958446,nan,nan,nan
286.0,4776.457120520319,440.6128826844673,nan,nan,nan
287.0,4778.692549315116,440.7181833685546,nan,nan,nan
288.0,4780.905623821965,440.8224062615184,nan,nan,nan
289.0,4783.096567583745,440.92556265171254,nan,nan,nan
290.0,4785.265601907908,441.0276637039183,nan,nan,nan
291.0,4787.412945888828,441.1287204608086,nan,nan,nan
292.0,4789.53881642994,441.228743844394,nan,nan,nan
293.0,4791.643428265641,441.32774465744836,nan,nan,nan
294.0,4793.726993982985,441.4257335849155,nan,nan,nan
295.0,4795.789724043155,441.52272119529744,nan,nan,nan
296.0,4797.831826802723,441.6187179420234,nan,nan,nan
297.0,4799.853508534696,441.7137341648014,nan,nan,nan
298.0,4801.854973449349,441.8077800909513,nan,nan,nan
299.0,4803.836423714855,441.90086583672075,nan,nan,nan
300.0,4805.798059477706,441.99300140858304,nan,nan,nan
301.0,4807.740078882929,442.08419670451855,nan,nan,nan
302.0,4809.6626780941,442.17446151527895,nan,nan,nan
303.0,4811.566051313159,442.26380552563495,nan,nan,nan
304.0,4813.450390800027,442.3522383156077,nan,nan,nan
305.0,4815.315886892026,442.4397693616839,nan,nan,nan
306.0,4817.162728023106,442.5264080380158,nan,nan,nan
307.0,4818.991100742875,442.61216361760466,nan,nan,nan
308.0,4820.801189735445,442.6970452734697,nan,nan,nan
309.0,4822.593177838091,442.78106207980113,nan,nan,nan
310.0,4824.36724605971,442.86422301309915,nan,nan,nan
311.0,4826.123573599113,442.94653695329754,nan,nan,nan
312.0,4827.862337863122,443.0280126848734,nan,nan,nan
313.0,4829.583714484491,443.10865889794223,nan,nan,nan
314.0,4831.287877339646,443.1884841893392,nan,nan,nan
315.0,4832.974998566249,443.2674970636868,nan,nan,nan
316.0,4834.645248580587,443.34570593444823,nan,nan,nan
317.0,4836.298796094781,443.4231191249685,nan,nan,nan
318.0,4837.935808133833,443.49974486950106,nan,nan,nan
319.0,4839.556450052495,443.5755913142226,nan,nan,nan
320.0,4841.16088555197,443.65066651823406,nan,nan,nan
321.0,4842.749276696451,443.7249784545497,nan,nan,nan
322.0,4844.321783929486,443.7985350110737,nan,nan,nan
323.0,4845.878566090191,443.87134399156383,nan,nan,nan
324.0,4847.419780429289,443.9434131165839,nan,nan,nan
325.0,4848.945582624996,444.01475002444363,nan,nan,nan
326.0,4850.456126798746,444.0853622721274,nan,nan,nan
327.0,4851.951565530758,444.1552573362108,nan,nan,nan
328.0,4853.4320498754505,444.2244426137664,nan,nan,nan
329.0,4854.897729376696,444.29292542325794,nan,nan,nan
330.0,4856.3487520829285,444.36071300542324,nan,nan,nan
331.0,4857.7852645621,444.4278125241468,nan,nan,nan
332.0,4859.207411916479,444.4942310673212,nan,nan,nan
333.0,4860.615337797314,444.5599756476978,nan,nan,nan
334.0,4862.009184419341,444.6250532037276,nan,nan,nan
335.0,4863.3890925751475,444.689470600391,nan,nan,nan
336.0,4864.755201649396,444.75323463001786,nan,nan,nan
337.0,4866.107649632902,444.8163520130978,nan,nan,nan
338.0,4867.4465731365735,444.8788293990797,nan,nan,nan
339.0,4868.772107405208,444.9406733671626,nan,nan,nan
340.0,4870.084386331156,445.0018904270761,nan,nan,nan
341.0,4871.383542467844,445.0624870198516,nan,nan,nan
342.0,4872.6697070431655,445.12246951858435,nan,nan,nan
343.0,4873.943009972734,445.18184422918637,nan,nan,nan
344.0,4875.203579873007,445.2406173911296,nan,nan,nan
345.0,4876.451544074276,445.29879517818085,nan,nan,nan
346.0,4877.687028633533,445.35638369912755,nan,nan,nan
347.0,4878.910158347198,445.413388998495,nan,nan,nan
348.0,4880.121056763726,445.4698170572548,nan,nan,nan
349.0,4881.319846196089,445.5256737935245,nan,nan,nan
350.0,4882.506647734128,445.5809650632601,nan,nan,nan
351.0,4883.681581256787,445.63569666093883,nan,nan,nan
352.0,4884.844765444219,445.68987432023437,nan,nan,nan
353.0,4885.996317789777,445.7435037146845,nan,nan,nan
354.0,4887.136354611879,445.79659045835035,nan,nan,nan
355.0,4888.26499106576,445.84914010646753,nan,nan,nan
356.0,4889.382341155103,445.90115815609033,nan,nan,nan
